Program Version = DWM3_Entropy_Cluster
Data/Time = 2020-09-18 07:58:29.648861
Source File = S8-TokenReplace.txt
Run Mode = NewMatrix
mu	epsilon	Size	Entropy
0.6319	277.3	9	23.26412257432384
0.6319	277.3	7	16.380117005974085
0.6319	277.3	10	22.145684345940833
0.6319	277.3	2	3.0
0.6319	277.3	8	16.911675387160688
0.6319	277.3	14	23.06553274327284
0.6319	277.3	9	19.59254168739389
0.6319	277.3	7	15.700630064943386
0.6319	277.3	3	12.12631667339746
0.6319	277.3	7	18.145421748817245
0.6319	277.3	3	13.547870842227596
0.6319	277.3	3	10.12631667339746
0.6319	277.3	2	1.5
0.6319	277.3	13	20.995223591583006
0.6319	277.3	16	25.15459419855893
0.6319	277.3	2	10.0
0.6319	277.3	3	7.233083338141039
0.6319	277.3	10	23.136810611833212
0.6319	277.3	6	20.03312818143774
0.6319	277.3	9	26.94566007680783
0.6319	277.3	2	10.5
0.6319	277.3	6	13.599897424052205
0.6319	277.3	7	25.58186638429027
0.6319	277.3	3	11.711279174118616
0.6319	277.3	10	19.514954335795977
0.6319	277.3	8	30.52619375727239
0.6319	277.3	3	3.5599000019230838
0.6319	277.3	10	25.137577209620556
0.6319	277.3	5	13.915649114733226
0.6319	277.3	4	11.0
0.6319	277.3	6	14.919844847142873
0.6319	277.3	8	19.63303787880656
0.6319	277.3	10	24.24337935863492
0.6319	277.3	12	27.3235529339887
0.6319	277.3	5	15.801684661007673
0.6319	277.3	18	30.479148285838072
0.6319	277.3	3	11.459650006730792
0.6319	277.3	9	27.86121391378281
0.6319	277.3	11	23.211772734248413
0.6319	277.3	8	15.543907438531928
0.6319	277.3	3	9.45965000673079
0.6319	277.3	5	17.228500898097234
0.6319	277.3	4	9.678946871213927
0.6319	277.3	2	3.0
0.6319	277.3	7	20.160721058479304
0.6319	277.3	10	23.869007192646443
0.6319	277.3	3	5.648120837419885
0.6319	277.3	6	21.03638651621339
0.6319	277.3	3	9.849625007211563
0.6319	277.3	4	6.433834373377399
0.6319	277.3	3	6.729825003365394
0.6319	277.3	2	6.0
0.6319	277.3	4	10.556390622295662
0.6319	277.3	12	19.919478859011303
0.6319	277.3	23	34.64358304503832
0.6319	277.3	4	12.367668746754797
0.6319	277.3	1	0.0
0.6319	277.3	4	15.24511249783653
0.6319	277.3	2	12.5
0.6319	277.3	3	12.629575008173104
0.6319	277.3	2	4.5
0.6319	277.3	2	1.0
0.6319	277.3	2	4.5
0.6319	277.3	2	3.0
0.6319	277.3	7	16.497477955490126
0.6319	277.3	8	20.75315037664309
0.6319	277.3	5	24.59651835121512
0.6319	277.3	4	11.556390622295664
0.6319	277.3	3	6.289725005288478
0.6319	277.3	8	21.03867694103613
0.6319	277.3	4	19.311278124459132
0.6319	277.3	8	17.786233189954395
0.6319	277.3	8	16.682175814834288
0.6319	277.3	2	4.0
0.6319	277.3	2	11.0
0.6319	277.3	5	10.900285995323065
0.6319	277.3	6	22.572933341025664
0.6319	277.3	3	4.868170836458344
0.6319	277.3	5	12.911039140121419
0.6319	277.3	6	16.358897921834945
0.6319	277.3	10	21.59658625619887
0.6319	277.3	5	14.515092779552454
0.6319	277.3	7	15.162942340530583
0.6319	277.3	11	28.145966904209057
0.6319	277.3	7	19.512249819455867
0.6319	277.3	3	11.962908341506438
0.6319	277.3	10	22.73115587184364
0.6319	277.3	5	19.26844708614119
0.6319	277.3	2	1.5
0.6319	277.3	3	14.377945840785285
0.6319	277.3	3	12.101254174599386
0.6319	277.3	8	18.222511314413524
0.6319	277.3	2	10.0
0.6319	277.3	4	14.245112497836532
0.6319	277.3	6	18.342253676816632
0.6319	277.3	5	11.97780156525493
0.6319	277.3	8	16.64630625510892
0.6319	277.3	14	23.13240277462795
0.6319	277.3	8	26.973375073929425
0.6319	277.3	5	11.793164684665095
0.6319	277.3	3	6.566416671474374
0.6319	277.3	2	12.0
0.6319	277.3	5	16.126545897231843
0.6319	277.3	2	4.5
0.6319	277.3	2	7.0
0.6319	277.3	4	12.4338343733774
0.6319	277.3	6	13.28646667051283
0.6319	277.3	4	15.245112497836532
0.6319	277.3	2	11.5
0.6319	277.3	5	12.562438445844766
0.6319	277.3	5	16.010760972531035
0.6319	277.3	16	20.588688954028104
0.6319	277.3	3	5.53483750312501
0.6319	277.3	3	3.811529169310906
0.6319	277.3	4	11.867668746754797
0.6319	277.3	2	4.5
0.6319	277.3	7	14.303488410505292
0.6319	277.3	2	1.5
0.6319	277.3	2	5.0
0.6319	277.3	2	3.0
0.6319	277.3	8	25.319316003265694
0.6319	277.3	2	9.0
0.6319	277.3	1	0.0
0.6319	277.3	3	10.931329173157073
0.6319	277.3	3	10.264662506490405
0.6319	277.3	3	5.396491670032062
0.6319	277.3	2	10.0
