Program Version = DWM3_Entropy_Cluster
Data/Time = 2020-09-18 08:36:40.342535
Source File = S2-TokenReplace.txt
Run Mode = NewMatrix
mu	epsilon	Size	Entropy
0.885	145.57	2	0.0
0.885	145.57	2	2.0
0.885	145.57	2	2.0
0.885	145.57	2	3.0
0.885	145.57	2	1.0
0.885	145.57	3	3.14486250264424
0.885	145.57	3	1.698245835016031
0.885	145.57	2	0.0
0.885	145.57	3	1.6982458350160314
0.885	145.57	2	0.0
0.885	145.57	2	2.0
0.885	145.57	2	0.0
0.885	145.57	2	1.0
0.885	145.57	2	0.5
0.885	145.57	3	0.0
0.885	145.57	2	2.0
0.885	145.57	2	1.0
0.885	145.57	4	2.811278124459133
0.885	145.57	2	1.5
0.885	145.57	2	0.0
0.885	145.57	2	0.0
0.885	145.57	2	1.0
0.885	145.57	2	2.0
0.885	145.57	3	0.0
0.885	145.57	2	0.0
0.885	145.57	2	0.0
